Artist,Album,Year,Songs,Sales
Taylor Swift,Taylor Swift,2006,13.0,7275000
Taylor Swift,Fearless,2008,13.0,11911000
Taylor Swift,Speak Now,2010,14.0,6917500
Taylor Swift,Red,2012,16.0,8889124
Taylor Swift,1989,2014,13.0,14748116
Taylor Swift,Reputation,2017,15.0,6186524
Taylor Swift,Lover,2019,18.0,5686733
Taylor Swift,floklore (deluxe version),2020,,4360487
Taylor Swift,midnights,2022,,3387836
Taylor Swift,Fearless (Taylor's Version),2021,20.0,1557687
Taylor Swift,Red (Taylor's Version),2021,30.0,1696632
Taylor Swift,1989 (Taylor's version),2023,,14748116
Taylor Swift,evermore (deluxe version),2021,,1998779
Post Malone,Stoney,2016,11.0,7275000
Post Malone,Beerbongs & Bentleys,2018,14.0,11911000
Post Malone,Hollywood's Bleeding,2019,17.0,6186524
Post Malone,Twelve Carat Toothache,2022,,3387836
Post Malone,Austin,2022,,1998779
Ariana Grande,Yours Truly,2013,12.0,1305000
Ariana Grande,My Everything,2014,13.0,3506212
Ariana Grande,Dangerous Woman,2016,12.0,3632374
Ariana Grande,Sweetener,2018,15.0,1994479
Ariana Grande,"Thank U, Next",2019,12.0,3775436
Ariana Grande,Positions,2020,,1603367
Drake,Thank Me Later,2010,16.0,3460000
Drake,Take Care,2011,13.0,6920000
Drake,Nothing Was the Same,2013,17.0,4595000
Drake,Views,2016,20.0,7687247
Drake,Scorpion,2018,25.0,6433983
Drake,More Life ,2017,,4005250
Drake,If you're reading this its too late,2015,,3480000
Billie Eilish,Happier than ever,2021,,885000
Billie Eilish,Don't smile at me,2017,,2434691
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2019,14.0,7256516
Lady Gaga,The Fame,2008,11.0,14350358
Lady Gaga,The Fame Monster,2009,,8298000
Lady Gaga,Born This Way,2011,14.0,7166944
Lady Gaga,Artpop,2013,15.0,2300000
Lady Gaga,Cheek to Cheek,2014,11.0,715000
Lady Gaga,A Star is born (soundtrack),2018,,4270810
Lady Gaga,Chromatica,2020,,1483784
Lady Gaga,Joanne,2016,,1305793
Rihanna,Good Girl Gone Bad,2007,12.0,10854803
Rihanna,Rated R,2009,12.0,3183000
Rihanna,Loud,2010,14.0,6673000
Rihanna,Talk That Talk,2011,11.0,4628000
Rihanna,Unapologetic,2012,12.0,4382500
Rihanna,Anti,2016,,6537235
Rihanna,A girl like me,2006,,3377500
Rihanna,Music of the sun,2005,,1407500
The Weeknd,House of Balloons,2011,8.0,180000
The Weeknd,Dawn FM,2022,,340000
The Weeknd,Kiss Land,2013,13.0,640000
The Weeknd,Beauty Behind the Madness,2015,14.0,7584588
The Weeknd,Starboy,2016,18.0,6070666
The Weeknd,My Dear Melancholy,2018,6.0,1201541
The Weeknd,After Hours,2020,14.0,4958942
The Weeknd,The highlights,2021,,2116000
The Weeknd,Trilogy,2012,,1360000
Ed Sheeran,+,2011,12.0,7705000
Ed Sheeran,x,2014,12.0,11879785
Ed Sheeran,÷,2017,12.0,13787460
Ed Sheeran,=,2021,,1862489
Ed Sheeran,No.6 Collaborations Project,2019,15.0,2631838
Justin Bieber,My World 2.0,2010,12.0,5235395
Justin Bieber,Believe,2012,13.0,4141507
Justin Bieber,Purpose,2015,13.0,14000000
Justin Bieber,Changes,2020,17.0,2182351
Justin Bieber,My World,2010,,3980000
Justin Bieber,Justice,2021,,3793131
Justin Bieber,Under the Mistletoe,2011,,2700725
Justin Bieber,Never say never - the remixes,2011,,1133000
Justin Bieber,Journals,2013,,1080000
Shakira,Laundry service,2001,,13000000
Shakira,Fijación oral Vol 1,2005,,3150519
Shakira,Oral Fixation vol 2,2005,,2878001
Shakira,Pies Descalzos,1995,,2695000
Shakira,Donde están los ladrones,1998,,2551351
Shakira,Sale el sol / The sun comes out,2010,,2389939
Shakira,El dorado,2017,,985000
Shakira,MTV Umplugged,2000,,828663
